Id,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,Unit,CDE Reference,form_name
study_id,,text,Study ID,,,,,,,,RADx-rad Minimum CDE,form_1
race,Race,checkbox,What is your race? Mark one or more boxes.,"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Some other race | 7- Unknown / Not Collected",,,,,,,RADx-rad Minimum CDE,form_1
ethnicity,Ethnicity,checkbox,Are you of Hispanic or Latino origin?,"1, Yes, of Hispanic or Latino origin | 0, No, not of Hispanic or Latino origin | 2, Unknown or Not Collected",,,,,,,RADx-rad Minimum CDE,form_1
age,Age,text,What is your age?,,"Age in years. For babies less than 1 year old, write 0 as the age",integer,0,120,,,RADx-rad Minimum CDE,form_1
sex,Sex,radio,What is your biological sex assigned at birth?,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me",,,,,,,RADx-rad Minimum CDE,form_1
education,Education,text,How many years of education have you completed?,,Years of education from 0 - 20+ | 2= Not applicable | 3= not collected,integer,,,,,RADx-rad Minimum CDE,form_1
zip,Domicile,text,Zip or Postal Code:,,5-digit zip code,,,,,,RADx-rad Minimum CDE,form_1
employment,Employment,radio,Are you employed?,"1, Employed in a permanent position | 2, Employed in a temporary position | 3, Not currently employed | 4, Not available | 5, Not applicable",,,,,,,RADx-rad Minimum CDE,form_1
insurance,Insurance Status,radio,What kind of health insurance do you have?,"1, Private insurance | 2, Public insurance | 3, None",,,,,,,RADx-rad Minimum CDE,form_1
deaf,Disability Status,radio,Are you deaf or do you have serious difficulty hearing?,"1, Yes | 0, No | 2, Not applicable | 3, Not documented",,,,,,,RADx-rad Minimum CDE,form_1
blind,Disability Status,radio,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","1, Yes | 0, No | 2, Not applicable | 3, Not documented",,,,,,,RADx-rad Minimum CDE,form_1
memory_dis,Disability Status,radio,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?","1, Yes | 0, No | 2, Not applicable | 3, Not documented",,,,,,,RADx-rad Minimum CDE,form_1
